idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_page_primary,axis_primary,process_condition_primary,n_633,k_633,flags,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,process_condition_axis2,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year
200,Gold,Au,,23985,[Au],PCHJSUWPFVWCPO-UHFFFAOYSA-N,7440-57-5,196.96657,True,mp-81,Fm-3m (#225),0.0,18.02564920807207,bulk_elemental_approximation,8048.0,116.45509494183331,11.986495983708622,4.35387931509901,0.015119126541252493,False,main,Au,Johnson,,,0.18344262295081973,3.4332412177985945,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (7440-57-5); density relabeled bulk_elemental_approximation: no RI.info page for Au states a measured film density, and the default dataset is not confirmed genuinely bulk/single-crystal -- MP's bulk-crystal DFT density is a stand-in, not a verified value.",,,,,,,,,,
201,Selenium,Se,trigonal,6326970,[Se],BUGBHKTXTAQXES-UHFFFAOYSA-N,7782-49-2,78.97,True,mp-14,P3_121 (#152),0.0010810776041676462,4.495590649565637,MP_DFT,8048.0,32.079100263081635,1.1410890231838553,2.732299770010029,0.0011154142867900532,False,main,Se,Campel-o,o-ray,structure:single_crystal,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (7782-49-2); [Campel-o] 633nm outside n range of main/Se/nk/Campel-o.yml; [Campel-e] 633nm outside n range of main/Se/nk/Campel-e.yml",e-ray,,,Campel-e,structure:single_crystal,,,,,
202,Tellurium,Te,trigonal,6327182,[Te],PORWMNRCUJJQNO-UHFFFAOYSA-N,13494-80-9,127.6,True,mp-19,P3_121 (#152),0.0,5.8751993038972685,MP_DFT,8048.0,40.58572408194167,5.284162976667032,1.5749659443760244,0.0003624106958909408,False,main,Te,Sherman-o,o-ray,,,,"pubchem: 18 CAS numbers in PUG-View record, took first/primary (13494-80-9); [Sherman-o] 633nm outside n range of main/Te/nk/Sherman-o.yml; [Sherman-e] 633nm outside n range of main/Te/nk/Sherman-e.yml",e-ray,,,Sherman-e,,,,,,
210,Silver,Ag,fcc,23954,[Ag],BQCADISMDOOEFD-UHFFFAOYSA-N,7440-22-4,107.868,True,mp-124,Fm-3m (#225),0.0021267149999992796,10.362566650857447,MP_DFT,8048.0,76.90830421328265,6.953035096220988,3.4260461647415728,0.010183775916171518,False,main,Ag,Choi,,deposition:single_crystal,,,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (7440-22-4); [Choi] 633nm outside n range of main/Ag/nk/Choi.yml",,,,,,,,,,
211,Aluminium,Al,fcc,5359268,[Al],XAGFODPZIPBFFR-UHFFFAOYSA-N,7429-90-5,26.981538,True,mp-134,Fm-3m (#225),0.0,2.7200502090190675,bulk_elemental_approximation,8048.0,22.60349165560997,0.4132409126204892,2.093892152885873,3.899899467213795e-05,False,main,Al,Hagemann,,,1.3754673439767782,7.4092888243831645,"pubchem: 26 CAS numbers in PUG-View record, took first/primary (7429-90-5); density relabeled bulk_elemental_approximation: no RI.info page for Al states a measured film density, and the default dataset is not confirmed genuinely bulk/single-crystal -- MP's bulk-crystal DFT density is a stand-in, not a verified value.",,,,,,,,,,
212,Beryllium,Be,hcp,5460467,[Be],ATBAMAFKBVZNFJ-UHFFFAOYSA-N,7440-41-7,9.012183,True,mp-87,P6_3/mmc (#194),0.0,1.8826149238156762,bulk_elemental_approximation,8048.0,14.194470377935541,0.0054489583113922985,9.799859526872856,2.658742648165402e-06,False,main,Be,Svechnikov,,,,,"pubchem: 19 CAS numbers in PUG-View record, took first/primary (7440-41-7); density relabeled bulk_elemental_approximation: no RI.info page for Be states a measured film density, and the default dataset is not confirmed genuinely bulk/single-crystal -- MP's bulk-crystal DFT density is a stand-in, not a verified value.; [Svechnikov] 633nm outside n range of main/Be/nk/Svechnikov.yml",,,,,,,,,,
213,Bismuth,Bi,rhombohedral (A7),5359367,[Bi],JCXGWMGPZLAOME-UHFFFAOYSA-N,7440-69-9,208.9804,True,mp-23152,R-3m (#166),0.0,9.485055058267159,bulk_elemental_approximation,8048.0,61.090717761893615,7.162671694882386,2.329908325872116,2.569107161165021e-06,False,main,Bi,Hagemann,,,2.283103531688438,3.1500677310111276,"pubchem: 9 CAS numbers in PUG-View record, took first/primary (7440-69-9); density relabeled bulk_elemental_approximation: no RI.info page for Bi states a measured film density, and the default dataset is not confirmed genuinely bulk/single-crystal -- MP's bulk-crystal DFT density is a stand-in, not a verified value.",,,,,,,,,,
214,Calcium,Ca,fcc,5460341,[Ca],OYPRJOBELJOOCE-UHFFFAOYSA-N,7440-70-2,40.08,True,mp-45,Fm-3m (#225),0.0,1.55,experimental lattice params,8048.0,13.376739477888316,0.8614368912962527,1.0946478226608112,2.785000850496703e-05,False,main,Ca,Rodriguez-de_Marcos,,,,,"pubchem: 16 CAS numbers in PUG-View record, took first/primary (7440-70-2); density overridden from MP_DFT (1.5348 g/cm3) to experimental value (1.55 g/cm3): literature: Ca film, density stated directly in RI.info's COMMENTS field.; [Rodriguez-de_Marcos] 633nm outside n range of main/Ca/nk/Rodriguez-de Marcos.yml",,,,,,10.1364/AO.54.001910,Transmittance and optical constants of Ca films in the 4-1000 eV spectral range,"Rodriguez-de Marcos, L.; Larruquert, J.I.; Vidal-Dasilva, M.; Aznarez, J.A.; et al.",Applied Optics,2015.0
215,Cerium,Ce,fcc (gamma-Ce),23974,[Ce],GWXLDORMOJMVQZ-UHFFFAOYSA-N,7440-45-1,140.116,True,mp-28,Fm-3m (#225),0.0,6.771,experimental lattice params,8048.0,46.07146850571287,8.26757061673223,1.4085145808904505,5.098434589632327e-05,False,main,Ce,Fernandez-Perea,,,,,"pubchem: 17 CAS numbers in PUG-View record, took first/primary (7440-45-1); density overridden from MP_DFT (9.1237 g/cm3) to experimental value (6.771 g/cm3): literature: Ce film, density stated directly in RI.info's COMMENTS field.; [Fernandez-Perea] 633nm outside n range of main/Ce/nk/Fernandez-Perea.yml",,,,,,10.1063/1.2901137,Transmittance and optical constants of Ce films in the 6-1200eV spectral range,"Fernandez-Perea, M.; Aznarez, J.A.; Larruquert, J.I.; et al.",Journal of Applied Physics,2008.0
216,Cobalt,Co,hcp,104730,[Co],GUTLYIVDDKVIGB-UHFFFAOYSA-N,7440-48-4,58.93319,True,mp-1183710,P6_3/mmc (#194),0.010616019999998727,9.155737605883298,bulk_elemental_approximation,8048.0,64.9034788332131,9.392263284106907,2.3296120714990267,0.00967328455293184,False,main,Co,Werner,,,0.5377337962962963,5.693611851851851,"pubchem: 22 CAS numbers in PUG-View record, took first/primary (7440-48-4); density relabeled bulk_elemental_approximation: no RI.info page for Co states a measured film density, and the default dataset is not confirmed genuinely bulk/single-crystal -- MP's bulk-crystal DFT density is a stand-in, not a verified value.",,,,,,,,,,
